area,name,left20,left30,left40,left50,left60,left70,left80,left90,peak,peakdate,peakvalue,right90,right80,right70,right60,right50,right40,right30,right20
新北市中和區 35-54,NPc3,4,4,2,2,2,1,4,3,3,1,1,1,2,1,1,4,3,2,1
新北市中和區 55+,NPc4,1,1,2,2,2,3,4,3,3,1,4,1,2,1,3,4,3,2,1
新北市永和區 0-19,NPd1,4,4,1,2,2,1,4,3,3,1,4,1,2,3,3,1,4,4,0
新北市永和區 20-34,NPd2,4,4,1,2,2,1,4,4,1,1,2,1,2,1,3,4,4,1,0
新北市永和區 35-54,NPd3,1,1,2,4,2,3,4,4,2,1,1,1,2,1,3,4,1,2,4
新北市永和區 55+,NPd4,3,1,2,4,2,3,4,4,1,1,3,1,2,2,1,4,3,2,1
新北市汐止區 0-19,NPe1,4,4,2,2,2,3,4,4,1,1,2,1,2,1,3,1,4,1,4
新北市汐止區 20-34,NPe2,4,4,2,2,2,3,4,4,2,2,2,4,1,2,1,4,1,2,4
新北市汐止區 35-54,NPe3,4,4,1,2,2,1,4,3,3,2,1,1,2,1,3,4,1,2,2
新北市汐止區 55+,NPe4,1,4,2,2,2,3,4,4,2,2,4,4,1,4,1,4,1,2,1
新北市板橋區 0-19,NPf1,1,4,2,4,2,3,1,4,1,1,2,4,1,4,1,3,3,2,3
新北市板橋區 20-34,NPf2,1,1,2,4,2,3,1,4,2,1,2,1,4,1,3,4,1,2,3
新北市板橋區 35-54,NPf3,1,4,2,2,2,3,4,4,2,1,1,1,4,2,1,4,3,2,1
新北市板橋區 55+,NPf4,3,1,2,4,2,3,4,4,3,1,4,1,2,1,1,4,3,2,1
新北市林口區 0-19,NPg1,2,3,1,2,2,3,4,2,2,4,4,2,4,3,2,2,2,3,0
新北市林口區 20-34,NPg2,2,3,3,1,4,2,3,3,2,2,1,1,2,3,3,2,2,3,0
新北市林口區 35-54,NPg3,2,4,1,2,1,1,4,3,2,4,4,1,3,3,2,2,2,3,0
新北市林口區 55+,NPg4,2,3,4,3,1,1,4,3,2,4,3,1,3,3,2,1,2,3,0
新北市淡水區 0-19,NPh1,1,4,2,2,2,3,4,4,2,1,1,1,2,3,4,2,2,4,0
新北市淡水區 20-34,NPh2,1,4,2,2,2,3,4,4,2,1,1,1,2,3,4,2,2,4,0
新北市淡水區 35-54,NPh3,4,4,2,2,2,1,4,3,4,2,4,1,2,3,3,1,1,4,0
新北市淡水區 55+,NPh4,2,4,1,2,2,1,4,3,2,4,3,1,2,3,4,2,4,4,2
新北市新店區 0-19,NPi1,4,4,2,2,2,3,4,4,1,1,2,1,4,4,1,4,4,2,2
新北市新店區 20-34,Npi2,2,4,1,3,1,1,3,1,2,1,1,1,2,3,4,2,4,1,0
新北市新店區 35-54,NPi3,1,4,2,2,2,3,4,3,1,1,1,1,2,3,3,1,1,2,4
新北市新店區 55+,NPi4,1,4,2,2,2,3,4,4,1,1,3,1,2,1,3,4,3,2,3
新北市新莊區 0-19,NPj1,2,3,4,3,1,1,4,4,2,2,1,1,2,1,3,4,1,2,3
