,KHa,KHb,KHc,KHd,KHe,KHf,KHg,KHh,KHi,KHj,KHk,KHl,KLa,KLb,KLc,KLd,KLe,KLf,KLg,NTa,NTb,NTc,NTd,NTe,NTf,NTg,NTh,NTi,NTj,NTk,NTl,TCa,TCb,TCc,TCd,TCe,TCf,TCg,TCh,TCi,TCj,TCk,TCl,TNa,TNb,TNc,TNd,TNe,TNf,TNg,TNh,TNi,TNj,TNk,TNl,TPa,TPb,TPc,TPd,TPe,TPf,TPg,TPh,TPi,TPj,TPk,TPl,TYa,TYb,TYc,TYd,TYe,TYf,TYg,TYh,TYi,TYj,TYk,TYl
TCg,3,2,2,3,3,3,3,2,6,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,4,4,4,8,3,4,4,5,3,3,3,6,1,8,3,7,5,6,4,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TCc,6,2,2,4,6,4,4,2,3,2,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,7,3,3,3,3,4,3,3,3,6,5,4,3,1,3,7,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TCa,4,2,2,5,4,5,6,2,3,2,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,5,4,3,3,3,3,5,3,3,3,4,4,5,3,1,3,4,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TCb,4,2,2,6,4,6,5,2,3,2,4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,7,4,3,3,3,3,7,3,3,3,4,4,6,3,1,3,4,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TCh,4,2,2,6,4,6,5,2,3,2,4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,7,4,3,3,3,3,7,3,3,3,4,4,6,3,1,3,4,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TCl,8,2,2,4,8,4,4,2,3,2,7,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,6,3,3,3,3,4,3,3,3,8,5,4,3,1,3,6,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TNa,5,2,2,4,5,4,4,2,3,2,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,3,3,3,3,4,3,3,3,5,5,4,3,1,3,5,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TNb,4,2,2,8,4,7,5,2,3,2,4,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6,4,3,3,3,3,6,3,3,3,4,4,8,3,1,3,4,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TNc,3,2,2,3,3,3,3,2,7,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,4,4,4,6,3,4,4,5,3,3,3,7,1,6,3,6,5,7,4,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TNe,3,2,2,3,3,3,3,2,6,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,4,4,4,8,3,4,4,5,3,3,3,6,1,8,3,7,5,6,4,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TNf,6,2,2,4,6,4,4,2,3,2,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,7,3,3,3,3,4,3,3,3,6,5,4,3,1,3,7,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TNg,3,2,2,3,3,3,3,2,6,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,4,4,4,7,3,4,4,5,3,3,3,6,1,7,3,7,5,6,4,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TNh,3,2,2,3,3,3,3,2,5,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,4,4,4,5,3,4,4,6,3,3,3,5,1,5,3,5,6,5,4,4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TNi,3,2,2,3,3,3,3,2,8,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,4,4,4,6,3,4,4,5,3,3,3,7,1,6,3,6,5,8,4,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TNj,3,2,2,3,3,3,3,2,4,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,5,5,6,4,3,5,5,4,3,3,3,4,1,4,3,4,4,4,6,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TNk,3,2,2,3,3,3,3,2,4,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,6,7,5,4,3,6,7,4,3,3,3,4,1,4,3,4,4,4,5,7,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TNl,3,2,2,3,3,3,3,2,5,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,4,4,4,5,3,4,4,7,3,3,3,5,1,5,3,5,6,5,4,4,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TNd,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,2,3,2,2,2,2,2,3,2,2,3,3,3,4,3,5,5,3,5,3,6,3,3,3
KHb,2,3,3,2,2,2,2,3,2,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
