,1Feature,CE,CE dropped,2Feature,CE,CE dropped,3Feature,CE,CE dropped
66,,,,left70_left80,0.4735914,0.03108358,left20_left80_right70,0.199247086,0.131514272
67,,,,left70_left90,0.377470432,0.013374984,left20_left80_right60,0.244936691,0.133900255
68,,,,left70_peak,0.555883574,0.082733328,left20_left80_right50,0.206048471,0.142004033
69,,,,left70_peakdate,0.517073653,0.121543249,left20_left80_right40,0.261468006,0.143876311
70,,,,left70_peakvalue,0.527634153,0.110982749,left20_left90_peak,0.31476167,0.039893466
71,,,,left70_right80,0.457859278,0.180757624,left20_left90_peakdate,0.294689422,0.059307817
72,,,,left70_right70,0.456108422,0.18250848,left20_left90_peakvalue,0.286491576,0.055908906
73,,,,left70_right60,0.4666807,0.171936202,left20_left90_right80,0.269843843,0.058024123
74,,,,left70_right50,0.480189102,0.1584278,left20_left90_right70,0.242755031,0.060714864
75,,,,left70_right40,0.47375931,0.164857592,left20_left90_right60,0.285210213,0.021101245
76,,,,left80_left90,0.293570943,0.097274473,left20_left90_right50,0.292342689,0.040918644
77,,,,left80_peak,0.370722388,0.133952592,left20_left90_right40,0.317390334,0.033532766
78,,,,left80_peakdate,0.365144236,0.139530744,left20_peak_peakdate,0.489120811,0.10377353
79,,,,left80_peakvalue,0.383838949,0.120836031,left20_peak_peakvalue,0.512598874,0.080295467
80,,,,left80_right80,0.244003154,0.260671826,left20_peak_right80,0.405116737,0.098489833
81,,,,left80_right70,0.330761358,0.173913622,left20_peak_right70,0.312513569,0.198096922
82,,,,left80_right60,0.378836946,0.125838034,left20_peak_right60,0.429515132,0.16232393
83,,,,left80_right50,0.348052504,0.156622476,left20_peak_right50,0.421278429,0.164795643
84,,,,left80_right40,0.410469679,0.094205301,left20_peak_right40,0.416544965,0.165676318
85,,,,left90_peak,0.367632407,0.023213009,left20_peakdate_peakvalue,0.570169704,0.125472748
86,,,,left90_peakdate,0.353997239,0.036848177,left20_peakdate_right80,0.430362408,0.073244162
87,,,,left90_peakvalue,0.342400482,0.048444934,left20_peakdate_right70,0.394469048,0.116141443
88,,,,left90_right80,0.327867966,0.06297745,left20_peakdate_right60,0.445924245,0.145914817
89,,,,left90_right70,0.303469895,0.087375521,left20_peakdate_right50,0.421128642,0.16494543
90,,,,left90_right60,0.306311458,0.084533958,left20_peakdate_right40,0.409125214,0.173096069
91,,,,left90_right50,0.333261333,0.057584083,left20_peakvalue_right80,0.403696525,0.099910045
92,,,,left90_right40,0.3509231,0.039922316,left20_peakvalue_right70,0.340770242,0.169840249
93,,,,peak_peakdate,0.682943996,0.164514795,left20_peakvalue_right60,0.446671947,0.145167115
94,,,,peak_peakvalue,0.779705104,0.119664456,left20_peakvalue_right50,0.46934433,0.116729742
95,,,,peak_right80,0.612575209,0.15188464,left20_peakvalue_right40,0.457265492,0.124955791
96,,,,peak_right70,0.668390351,0.179509867,left20_right80_right70,0.391657048,0.111949522
97,,,,peak_right60,0.683551285,0.201769748,left20_right80_right60,0.433273645,0.070332925
98,,,,peak_right50,0.720144463,0.179225097,left20_right80_right50,0.454718141,0.048888429
99,,,,peak_right40,0.697701683,0.201667877,left20_right80_right40,0.408542082,0.095064488
100,,,,peakdate_peakvalue,0.759179226,0.088279565,left20_right70_right60,0.480278259,0.030332232
101,,,,peakdate_right80,0.628425262,0.136034587,left20_right70_right50,0.447732447,0.062878044
102,,,,peakdate_right70,0.639004881,0.20845391,left20_right70_right40,0.430709837,0.079900654
103,,,,peakdate_right60,0.640589918,0.206868873,left20_right60_right50,0.451235883,0.134838189
104,,,,peakdate_right50,0.680745713,0.166713078,left20_right60_right40,0.460714587,0.121506696
105,,,,peakdate_right40,0.661220043,0.186238748,left20_right50_right40,0.505263827,0.076957456
106,,,,peakvalue_right80,0.627455095,0.137004754,left30_left40_left50,0.589932762,0.04324525
107,,,,peakvalue_right70,0.695909879,0.151990339,left30_left40_left60,0.586101894,0.033104287
108,,,,peakvalue_right60,0.750747601,0.134573432,left30_left40_left70,0.537164549,0.015266332
109,,,,peakvalue_right50,0.796601775,0.164909381,left30_left40_left80,0.387266649,0.019440561
110,,,,peakvalue_right40,0.828785209,0.14749998,left30_left40_left90,0.325535071,0.007571192
111,,,,right80_right70,0.674167909,0.09029194,left30_left40_peak,0.506752045,0.052963156
112,,,,right80_right60,0.693350582,0.071109267,left30_left40_peakdate,0.652437982,0.040221862
113,,,,right80_right50,0.706842607,0.057617242,left30_left40_peakvalue,0.613470625,0.07361714
114,,,,right80_right40,0.673116346,0.091343503,left30_left40_right80,0.417061335,0.04753474
115,,,,right70_right60,0.783888648,0.06401157,left30_left40_right70,0.405558252,0.062239211
116,,,,right70_right50,0.764846535,0.083053683,left30_left40_right60,0.503540093,0.054396532
117,,,,right70_right40,0.764769144,0.083131074,left30_left40_right50,0.433946213,0.095466411
118,,,,right60_right50,0.81930798,0.066013053,left30_left40_right40,0.504276146,0.077551242
119,,,,right60_right40,0.82514378,0.060177253,left30_left50_left60,0.557175086,0.074324339
120,,,,right50_right40,0.863838733,0.097672423,left30_left50_left70,0.509284082,0.050096878
121,,,,left20_right30,0.702231548,0.097249943,left30_left50_left80,0.354668053,0.062456564
122,,,,left30_right30,0.674032668,0.124610788,left30_left50_left90,0.276160726,0.057279102
123,,,,left40_right30,0.63601932,0.171976633,left30_left50_peak,0.464576462,0.064888973
124,,,,left50_right30,0.631516614,0.081377159,left30_left50_peakdate,0.527066396,0.086128031
125,,,,left60_right30,0.567586179,0.12811762,left30_left50_peakvalue,0.478721774,0.122684068
126,,,,left70_right30,0.514875585,0.123741317,left30_left50_right80,0.344412337,0.072466219
127,,,,left80_right30,0.380200428,0.124474552,left30_left50_right70,0.360616349,0.079604381
128,,,,left90_right30,0.367481097,0.023364319,left30_left50_right60,0.387374069,0.10419897
129,,,,peak_right30,0.750025095,0.149344465,left30_left50_right50,0.395902501,0.118130331
130,,,,peakdate_right30,0.70266991,0.144788881,left30_left50_right40,0.424898086,0.12066942
131,,,,peakvalue_right30,0.858332143,0.140806762,left30_left60_left70,0.536732327,0.022648633
132,,,,right80_right30,0.652656257,0.111803592,left30_left60_left80,0.412823376,0.004301241
133,,,,right70_right30,0.75685074,0.091049478,left30_left60_left90,0.307172897,0.026266931
134,,,,right60_right30,0.80899251,0.076328523,left30_left60_peak,0.465537388,0.04038254
135,,,,right50_right30,0.829105047,0.132406109,left30_left60_peakdate,0.530328207,0.045598999
136,,,,right40_right30,0.901680624,0.074604565,left30_left60_peakvalue,0.520235978,0.055974343
137,,,,left20_right20,0.50915633,0.290325161,left30_left60_right80,0.334216214,0.054772762
138,,,,left30_right20,0.565000606,0.23364285,left30_left60_right70,0.299535793,0.099427593
139,,,,left40_right20,0.523447804,0.284548149,left30_left60_right60,0.390357899,0.099823441
140,,,,left50_right20,0.537078468,0.175815305,left30_left60_right50,0.331384824,0.114992585
141,,,,left60_right20,0.486475623,0.209228176,left30_left60_right40,0.402097183,0.101631555
142,,,,left70_right20,0.401325534,0.237291368,left30_left70_left80,0.393660717,0.0234639
143,,,,left80_right20,0.307158766,0.197516214,left30_left70_left90,0.305852677,0.027587151
144,,,,left90_right20,0.339036416,0.051809,left30_left70_peak,0.4297552,0.126128374
145,,,,peak_right20,0.619422114,0.264992986,left30_left70_peakdate,0.454171562,0.062902091
146,,,,peakdate_right20,0.552539988,0.294918803,left30_left70_peakvalue,0.387502589,0.140131564
147,,,,peakvalue_right20,0.685486479,0.198928621,left30_left70_right80,0.304648174,0.153211104
148,,,,right80_right20,0.4991307,0.265329149,left30_left70_right70,0.313009228,0.143099194
149,,,,right70_right20,0.655266203,0.192634015,left30_left70_right60,0.354668053,0.112012647
150,,,,right60_right20,0.646195182,0.238219918,left30_left70_right50,0.354894699,0.125294403
151,,,,right50_right20,0.670853646,0.213561454,left30_left70_right40,0.3677729,0.10598641
152,,,,right40_right20,0.697605737,0.186809363,left30_left80_left90,0.231464704,0.062106239
153,,,,right30_right20,0.575401,0.3090141,left30_left80_peak,0.280198768,0.09052362
154,,,,,,,left30_left80_peakdate,0.292545259,0.072598977
155,,,,,,,left30_left80_peakvalue,0.269476703,0.114362246
156,,,,,,,left30_left80_right80,0.142706392,0.101296762
157,,,,,,,left30_left80_right70,0.171405704,0.159355654
158,,,,,,,left30_left80_right60,0.228491528,0.150345418
159,,,,,,,left30_left80_right50,0.189970448,0.158082056
160,,,,,,,left30_left80_right40,0.244060469,0.16640921
161,,,,,,,left30_left90_peak,0.296239293,0.037200535
162,,,,,,,left30_left90_peakdate,0.282190334,0.051249494
163,,,,,,,left30_left90_peakvalue,0.242614538,0.09082529
164,,,,,,,left30_left90_right80,0.23312386,0.094744106
165,,,,,,,left30_left90_right70,0.182103693,0.121366202
166,,,,,,,left30_left90_right60,0.219889045,0.086422413
167,,,,,,,left30_left90_right50,0.218419038,0.114842295
168,,,,,,,left30_left90_right40,0.254048255,0.079391573
169,,,,,,,left30_peak_peakdate,0.451494243,0.108778113
170,,,,,,,left30_peak_peakvalue,0.471308637,0.088963719
171,,,,,,,left30_peak_right80,0.355338837,0.120989982
172,,,,,,,left30_peak_right70,0.283675124,0.184122339
173,,,,,,,left30_peak_right60,0.336065811,0.221870814
174,,,,,,,left30_peak_right50,0.354780018,0.174632606
175,,,,,,,left30_peak_right40,0.360744869,0.199527487
176,,,,,,,left30_peakdate_peakvalue,0.539257019,0.147830746
177,,,,,,,left30_peakdate_right80,0.403518534,0.072810285
178,,,,,,,left30_peakdate_right70,0.387416436,0.080381027
179,,,,,,,left30_peakdate_right60,0.457038845,0.10089778
